text,created_at
"Presiden RI Prabowo Subianto berkunjung ke sekolah tersebut untuk meninjau langsung program Makan Bergizi Gratis (MBG). Kedatangan Prabowo ini, disambut antusias oleh seluruh siswa. | #MakanBergiziGratis #PrabowoSubianto ",Mon Feb 03 16:02:59 +0000 2025
"Program Makan Bergizi Gratis wujudkan generasi Indonesia Emas

#makanbegizigratis
#visipresidenprabowo
#EfisiensiUntukBangsa
#indonesia ",Sun Feb 09 16:08:35 +0000 2025
"Program Makan Bergizi Gratis mendukung percepatan perkembangan ekonomi negara

#makanbegizigratis
#visipresidenprabowo
#EfisiensiUntukBangsa
#indonesia ",Sun Feb 09 20:19:43 +0000 2025
"Presiden Prabowo Subianto mengunjungi SDN Kedung Jaya 1 Bogor, Kota Bogor, Jawa Barat.

Kunjungannya tersebut untuk meninjau langsung pelaksanaan program makan bergizi gratis (MBG). 

Prabowo disambut antusias anak-anak SDN Kedung Jaya 1 Bogor.

Simak video selengkapnya hanya di ",Mon Feb 10 09:09:37 +0000 2025
"•kdm• ini menu makan bergizi gratis (MBG) sender, bergizi bukan? :' ",Tue Jan 21 04:22:04 +0000 2025
"Sosialisasi CKG, cek kesehatan gratis programnya menkes nih, otw di launching Presiden hari senin ini,
..
Liat komen"" nakes berikut sedikit menghibur disaat kepusingan program gaje 
..
Makan gratis yg dikorbankan duit rakyat, cek kesehatan gratis yg dikorbankan tenaga nakes wkwkk ",Fri Feb 07 11:46:34 +0000 2025
"1. Bensin pertamina jelek. Masyarakat pindah ke swasta, eh malah dilangkain.
2. Gas melon langka. Gas ungu dkk yg nonsubidi mana mampu masyarakat. Mahal banget cok.
3. Laut punya hgb sekarang?
4. Makan bergizi gratis? Banyak korban sama motong2in anggaran?

#IndonesiaGelap ",Mon Feb 03 23:47:18 +0000 2025
"Ketahanan pangan bukan hanya tanggung jawab pemerintah, tapi juga kita semua. Kapolri, Jenderal Polisi Drs. Listyo Sigit Prabowo, M. Si., mendukung penuh langkah strategis pemerintah dalam mewujudkan swasembada pangan dan memberikan makan bergizi gratis demi masa depan yang lebih ",Mon Feb 10 07:12:56 +0000 2025
"Program Makan Bergizi Gratis dorong ekonomi tumbuh di atas 8 persen

#makanbegizigratis
#visipresidenprabowo
#indonesia ",Mon Feb 03 11:05:18 +0000 2025
"Makan Bergizi Gratis adalah program yang mengedepankan peningkatan kualitas SDM Indonesia sekaligus mendukung percepatan perkembangan ekonomi negara. 
#MakanBergiziGratis
#IndonesiaSehat
#economicgrowth 
#swasembadapangan
#ketahananpangan
#LoveIslandAllStars ",Mon Feb 10 03:56:15 +0000 2025
"Program Makan Bergizi Gratis di Papua demi anak anak di Papua lebih sehat, sejahtera, dan pintar

#makanbegizigratis
#visipresidenprabowo
#indonesia ",Thu Feb 06 10:36:47 +0000 2025
kita semua ga butuh makan siang gratis kita semua butuh makan siang di samping dk,Mon Feb 10 13:09:49 +0000 2025
"#SahabatBahari, Kementerian Kelautan dan Perikanan (KKP) tancap gas merealisasikan program revitalisasi tambak Pantura Jawa untuk mendukung pencapaian target swasembada pangan serta mendukung pelaksanaan program makan bergizi gratis (MBG). ",Mon Feb 10 10:45:12 +0000 2025
"Ratusan siswa SD hingga SMA di Dekai, Kabupaten Yahukimo, Papua Pegunungan turun ke jalan menolak Program Makan Bergizi Gratis (MBG) pada Senin (3/2). Mereka membawa spanduk dan menyatakan lebih memilih pendidikan dibanding MBG.

📌 Apa yang Terjadi?
❌ Aksi protes muncul meski ",Thu Feb 06 01:00:01 +0000 2025
"Makan Bergizi Gratis dapat tambahan Rp 100 Triliun dari efisiensi anggaran

#makanbegizigratis
#visipresidenprabowo
#EfisiensiUntukBangsa
#indonesia ",Sun Feb 09 16:08:58 +0000 2025
"Udah kagak ngerti lagi gw sama negara ini
1. PPN 12%;
2. Makan Belalang Gratis;
3. Kasus siswa keracunan MBG;
4. Upah karyawan MBG telat dibayar;
5. Laut dipagar &amp; ada HGB di atas laut;
6. Mafia tanah;

#IndonesiaGelap ",Mon Feb 03 18:59:01 +0000 2025
"Anak papua pegunungan tolak program makan bergizi gratis

“ logika nya agar dpt MBG dia harus sekolah, sedangkan mau sekolah mahal dan susah “

Untung prabowo presidennya kata SDM 58 %, hancur

Lebih baik pendidikan dan kesehatan gratis, perbaiki BPJS

Dipecat aja gak cukup .!!! ",Thu Feb 06 08:32:40 +0000 2025
"Program Makan Bergizi Gratis miliki dampak positif bai sector Kesehatan dan Pendidikan Indonesia

#makanbegizigratis
#visipresidenprabowo
#indonesia ",Thu Feb 06 10:36:57 +0000 2025
"Ketimbang program makan bergizi gratis, mereka menuntut pendidikan yang layak dan berkualitas.  

#MakanBergiziGratis #Papua #Yahukimo #Pendidikan #Asumsico ",Wed Feb 05 09:43:02 +0000 2025
"Teman-teman yang mau membaca review kami soal makan bergizi gratis bisa baca di:

 

Di kajian ini, kami membedah mulai tata kelola sampai kandungan gizi di MBG.",Thu Feb 06 03:40:30 +0000 2025
"Makan Bergizi Gratis bukan hanya program, tapi gerakan bersama! Dengan dukungan dari semua pihak—pemerintah, swasta, komunitas, dan masyarakat—kita bisa memastikan anak-anak Indonesia tumbuh sehat, cerdas, dan kuat. Mari kita bersatu untuk masa depan yang lebih baik! ",Wed Feb 05 13:29:22 +0000 2025
Satu bulan perjalanan Program Makan Bergizi Gratis (MBG) telah membawa dampak nyata dan menjangkau lebih dari 700.000 penerima manfaat di 31 provinsi. ,Thu Feb 06 14:03:17 +0000 2025
"-star Tamu langganan kita berharap KKPP lanjut terus😭 ini kalo lanjut pasti blio tiap hari geret temen2nya buat ikut makan gratis😭😭

Gaada yg mau mempertemukan EXO SVT paket komplit dalam 1 varshow gitu?😔 ",Fri Feb 07 11:40:20 +0000 2025
"Efisiensi Anggaran dalam program Makan Bergizi Gratis dilakukan untuk membangun bangsa

#makanbegizigratis
#visipresidenprabowo
#EfisiensiUntukBangsa
#indonesia ",Sun Feb 09 16:08:49 +0000 2025
"Anggaran pendidikan, riset, dan kesehatan dipangkas, sementara untuk makan gratis ditambah...

Sesuai prediksi @prabowo 2030 Indonesia bubar ",Mon Feb 10 02:42:36 +0000 2025
"Melihat ini terasa pendidikan dan kesehatan bukan kebutuhan semua orang karena terpangkasnya gede banget, terasanya yang dibutuhkan semua orang adalah Makan Bergizi Gratis karena satu program ini semua anggaran di-efisiensi 🥰 ",Tue Feb 04 08:01:11 +0000 2025
"makan marugame 2 porsi cuma 10k? caranya? Download aplikasi Marugame Udon, pakai referral code DINDA9XH  bakal dapat poin yg bisa ditukerin udon gratis. pengguna baru free ocha dan puding juga. jd jgn lupa kumpulin PoinMU dan dapatkan banyak voucher promo diskon gratis lainnya. ",Tue Feb 04 07:32:49 +0000 2025
Apaan makan siang gratis tapi yang jaga ga ada pangkat di pundaknya,Mon Feb 10 23:59:30 +0000 2025
Ank aku cerita sklh yg bayar uang masuk &amp; SPP nya lbh mahal dr sekolah ankku dpt makan bergizi gratis plus kunjungan wapres. Lhaaaa...konsepnya gimana sih? Berharap pihak sklh ank ku bijak lah jgn jd pihak² penjilat ke pemerintah,Mon Feb 10 23:54:59 +0000 2025
@guzman_sige MBG : Makan Burger Gratis,Mon Feb 10 23:51:00 +0000 2025
@aparatmati @prabowo dut kok makan siang gratis ga antusias begini dut anak anaknya dut gmn sih dut,Mon Feb 10 23:50:55 +0000 2025
Mending pendidikan gratis daripada makan siang gratis ga merata,Mon Feb 10 23:49:41 +0000 2025
@KompasTV Menurut gue ketimbang pemerintah memberi makan siang gratis mending sih meningkatkan pendapatan masyarakat dan lain lain,Mon Feb 10 23:49:24 +0000 2025
@huhhh192 Padahalmah tinggal minta makan gratis aja bukannya ada program makan gratis ya?,Mon Feb 10 23:49:22 +0000 2025
